County,county_fips,population,Fire_Count,pct_intermix,pct_interface,wui_exposure_pct,mean_pop_density,avg_housing_density,TMAX_Z_mean,TMAX_Z_max,PRCP_Z_mean,PRCP_Z_min,heat_stress,drought_stress,fire_history_score,wui_exposure_score,climate_fire_risk_score,risk_category,climate_trend,population_at_risk
FRANKLIN,53021,41707,17,0.1513157894736842,0.8486842105263158,57.0,1465.1324438308168,464.2922569497004,2.227,2.718,-1.155,-1.219,24.725,11.55,10.300910074469968,14.243421052631575,60.8,High,Warming & Drying,23762.0
BENTON,53005,13766,33,0.1522435897435897,0.8477564102564102,57.0,1044.5970038884243,355.46305186004673,1.846,2.439,-1.187,-1.249,21.425,11.87,12.567491553637293,14.238782051282053,60.1,High,Warming & Drying,7840.0
GRANT,53025,8225,81,0.1446654611211573,0.8553345388788427,57.1,1189.5674686224063,474.2849020258377,1.168,1.674,-1.176,-1.245,14.209999999999996,11.76,15.704975861840603,14.276672694394213,56.0,High,Warming & Drying,4697.0
WALLA WALLA,53071,13193,43,0.25,0.75,55.0,511.3337569031398,182.4755302288821,1.646,2.208,-0.952,-1.099,19.27,9.52,13.486361059695144,13.749999999999998,56.0,High,Warming & Drying,7256.0
SPOKANE,53063,539339,4215,0.1611671249618087,0.8388328750381913,56.8,1761.3854141724591,714.7192183406436,0.061,0.45,-0.717,-0.866,2.555,7.17,29.74634988052057,14.194164375190956,53.7,Moderate,Drying,306219.0
STEVENS,53065,23883,4526,0.4686131386861314,0.5313868613138686,50.6,556.024636715673,247.55566612271167,0.057,0.531,-0.732,-0.881,2.9400000000000004,7.32,30.0,12.656934306569342,52.9,Moderate,Drying,12091.0
DOUGLAS,53017,5983,141,0.1295336787564766,0.8704663212435233,57.4,1269.0868837905632,450.7997329307894,0.622,1.211,-1.134,-1.206,9.165,11.34,17.66192488060203,14.352331606217614,52.5,Moderate,Warming & Drying,3435.0
OKANOGAN,53047,40327,3344,0.2934415145368492,0.7065584854631508,54.1,610.7999304533136,263.9469004544542,-1.021,-0.606,-0.824,-0.885,0.0,8.24,28.92159859552933,13.532792427315757,50.7,Moderate,Drying,21829.0
CLARK,53011,41452,779,0.469241773962804,0.530758226037196,50.6,516.9703798100311,159.1364451117984,1.21,1.628,0.37,-0.075,14.19,0.0,23.73285984362642,12.65379113018598,50.6,Moderate,Warming,20981.0
LINCOLN,53043,13888,341,0.2880258899676375,0.7119741100323624,54.2,632.4109096303263,323.98387777637964,0.299,0.763,-1.001,-1.125,5.3100000000000005,10.009999999999998,20.794508713225856,13.559870550161811,49.7,Moderate,Drying,7533.0
THURSTON,53067,25340,1112,0.2955531453362256,0.7044468546637744,54.1,1009.6100225432766,342.5224865558204,0.937,1.165,0.504,0.068,10.510000000000002,0.0,24.999888552117056,13.522234273318873,49.0,Moderate,Warming,13706.0
ADAMS,53001,21192,8,0.1215469613259668,0.8784530386740331,57.6,867.9171161187999,404.6221173322882,1.168,1.628,-1.078,-1.197,13.98,10.78,7.830623421614812,14.392265193370164,47.0,Moderate,Warming & Drying,12200.0
MASON,53045,13307,950,0.373015873015873,0.626984126984127,52.5,936.1936447315852,364.4847698188329,0.693,0.848,1.518,0.542,7.705,0.0,24.43929072435635,13.134920634920636,45.3,Moderate,Warming,6991.0
KLICKITAT,53039,10546,1186,0.3203883495145631,0.6796116504854369,53.6,1146.0965472039386,458.4075854701058,-0.215,0.446,-0.497,-0.683,1.155,4.97,25.22929503800009,13.398058252427184,44.8,Moderate,Stable,5652.0
FERRY,53019,11331,1058,0.7207207207207207,0.2792792792792792,45.6,257.60647849405643,134.28018177969057,-0.897,-0.393,-0.705,-0.819,0.0,7.05,24.82264300621352,11.396396396396396,43.3,Moderate,Drying,5165.0
GRAYS HARBOR,53027,23058,475,0.2155309033280507,0.7844690966719493,55.7,1258.6091187483412,530.5227545597157,0.432,0.709,2.183,0.615,5.705,0.0,21.972749600278583,13.922345483359749,41.6,Moderate,Stable,12841.0
YAKIMA,53077,35827,667,0.1320411871592973,0.8679588128407026,57.4,1209.0216125578966,408.21721488373913,-0.954,-0.793,-0.346,-0.571,0.0,3.46,23.1804394680383,14.339794064203511,41.0,Moderate,Stable,20550.0
CHELAN,53007,43484,875,0.203432930705658,0.7965670692943421,55.9,1254.7140856514466,489.0218437984169,-0.593,-0.045,-0.218,-0.397,0.0,2.18,24.14652600783409,13.982835346471711,40.3,Moderate,Stable,24321.0
PACIFIC,53049,27722,235,0.2549634273772205,0.7450365726227796,54.9,730.9321451655717,459.437071537216,0.568,0.655,1.496,0.912,6.114999999999999,0.0,19.47238791406004,13.725182863113895,39.3,Low,Warming,15220.0
SAN JUAN,53055,26976,111,0.6977491961414791,0.3022508038585209,46.0,265.03962999126844,123.51771491053968,0.423,0.794,-0.461,-0.695,6.085000000000001,4.61,16.816118005206764,11.511254019292604,39.0,Low,Stable,12421.0
COWLITZ,53015,43526,962,0.3336538461538461,0.6663461538461538,53.3,1005.0155016429452,363.0841733943636,-0.048,0.266,1.73,0.825,1.09,0.0,24.48397933878525,13.331730769230768,38.9,Low,Stable,23211.0
KITTITAS,53037,2048,1144,0.2673521850899742,0.7326478149100257,54.7,458.0704675180676,257.5748974463557,-0.832,-0.551,0.034,-0.309,0.0,0.0,25.10090846843713,13.663239074550129,38.8,Low,Stable,1119.0
COLUMBIA,53013,33393,85,0.5576923076923077,0.4423076923076923,48.8,192.8467803723196,126.66527538746888,-0.029,1.211,-0.469,-0.877,5.910000000000001,4.69,15.874716051254117,12.211538461538463,38.7,Low,Stable,16311.0
ASOTIN,53003,40550,98,0.0993377483443708,0.9006622516556292,58.0,1452.29936855309,613.3347106873342,-0.176,0.121,-0.761,-0.967,0.0,7.61,16.37641117559964,14.503311258278146,38.5,Low,Drying,23524.0
WHITMAN,53075,24116,17,0.6415094339622641,0.3584905660377358,47.2,337.0220650209502,116.50577518338932,0.727,0.939,-0.775,-0.925,8.33,7.75,10.300910074469968,11.79245283018868,38.2,Low,Warming & Drying,11375.0
ISLAND,53029,7870,105,0.366306027820711,0.633693972179289,52.7,630.3622268827854,296.7040067126541,0.446,0.446,-0.398,-0.72,4.46,3.98,16.619892100378678,13.168469860896446,38.2,Low,Stable,4145.0
SNOHOMISH,53061,827957,482,0.3364389233954451,0.6635610766045549,53.3,1495.5294116419884,587.1119791845513,0.009,0.496,0.601,0.273,2.525,0.0,22.024777828004545,13.317805383022774,37.9,Low,Stable,441063.0
LEWIS,53041,715,818,0.2557894736842105,0.7442105263157894,54.9,844.1981761009243,341.4771952157448,-1.098,-0.875,1.201,0.413,0.0,0.0,23.906741660819986,13.721052631578948,37.6,Low,Stable,392.0
PEND OREILLE,53051,13730,1071,0.6070726915520629,0.3929273084479371,47.9,479.2387746703524,239.88488957129587,-0.801,-0.232,-0.049,-0.211,0.0,0.49,24.866125773637417,11.964636542239688,37.3,Low,Stable,6571.0
SKAGIT,53057,129523,601,0.2141089108910891,0.7858910891089109,55.7,1101.0021797333964,469.83436261714326,-0.83,-0.449,0.51,0.048,0.0,0.0,22.80968744504025,13.929455445544551,36.7,Low,Stable,72167.0
KITSAP,53035,75455,65,0.4120805369127517,0.5879194630872483,51.8,1107.2068469396388,387.70533403776426,0.798,0.886,0.119,-0.345,8.420000000000002,0.0,14.931386117647392,12.939597315436242,36.3,Low,Warming,39054.0
PIERCE,53053,921130,510,0.2233285917496444,0.7766714082503556,55.5,1669.8492420987354,523.2332301650512,-0.851,-0.509,0.369,0.031,0.0,0.0,22.2256123851025,13.88335704125178,36.1,Low,Stable,511535.0
WHATCOM,53073,8719,451,0.2825567502986857,0.7174432497013142,54.3,1142.3530398415985,507.7104712532568,-1.028,-0.733,0.941,0.417,0.0,0.0,21.788370366648092,13.58721624850657,35.4,Low,Stable,4739.0
CLALLAM,53009,8825,462,0.3165829145728643,0.6834170854271356,53.7,771.3833605050377,340.3589168899788,-0.611,-0.261,0.154,-0.111,0.0,0.0,21.87406317995689,13.417085427135678,35.3,Low,Stable,4736.0
KING,53033,2252782,318,0.2565513626834381,0.7434486373165619,54.9,1847.281190778681,612.1631419538326,-0.625,-0.375,0.963,0.537,0.0,0.0,20.546393366072486,13.71724318658281,34.3,Low,Stable,1236078.0
SKAMANIA,53059,9446,374,0.5331412103746398,0.4668587896253602,49.3,422.8227105196245,178.38572228234412,-0.917,-0.631,2.261,1.375,0.0,0.0,21.122795655876374,12.3342939481268,33.5,Low,Stable,4660.0
