Unnamed: 0,COUNTY,county_name,total_population,county_fips,svi_score,hospital_count,fema_declarations,school_count,lat,lon
0,1,Adams County,21039,53001,0.98,2.0,10,17,47.0112378,-118.5128614
1,3,Asotin County,22523,53003,0.4283,1.0,12,12,46.1818612,-117.2277813
2,5,Benton County,218190,53005,0.6405,4.0,19,69,46.2281252,-119.5166594
3,7,Chelan County,81228,53007,0.7999,4.0,49,43,47.8609739,-120.619041
4,9,Clallam County,77958,53009,0.5861,2.0,28,29,48.1109034,-123.8898599
5,11,Clark County,527269,53011,0.4257,5.0,16,151,45.7717295,-122.4859533
6,13,Columbia County,4025,53013,0.3576,1.0,16,6,46.2928505,-117.9116345
7,15,Cowlitz County,113982,53015,0.7124,2.0,22,48,46.1967854,-122.6784596
8,17,Douglas County,45795,53017,0.8116,2.0,19,21,47.7417625,-119.6946219
9,19,Ferry County,7543,53019,0.7159,1.0,22,11,48.4732563,-118.5335894
10,21,Franklin County,101238,53021,0.9147,1.0,11,41,46.5375019,-118.9038912
11,23,Garfield County,2404,53023,0.2456,1.0,14,2,46.4293176,-117.5367052
12,25,Grant County,104717,53025,0.931,4.0,12,61,47.2136328,-119.467788
13,27,Grays Harbor County,77893,53027,0.8215,4.0,33,46,47.1137324,-123.8267349
14,29,Island County,86478,53029,0.3032,2.0,21,26,48.1585538,-122.6706492
15,31,Jefferson County,33944,53031,0.3643,1.0,28,13,47.8057075,-123.5270572
16,33,King County,2340211,53033,0.3761,36.0,33,544,47.4905518,-121.8339765
17,35,Kitsap County,281420,53035,0.3334,3.0,16,77,47.6396874,-122.6496358
18,37,Kittitas County,48172,53037,0.3366,1.0,27,20,47.1244411,-120.6767092
19,39,Klickitat County,24124,53039,0.6414,2.0,27,22,45.8704463,-120.7793049
20,41,Lewis County,87049,53041,0.7028,2.0,35,44,46.5800714,-122.3774443
21,43,Lincoln County,11862,53043,0.2113,2.0,17,19,47.5827433,-118.4176925
22,45,Mason County,69632,53045,0.573,1.0,30,26,47.3508322,-123.1731033
23,47,Okanogan County,44942,53047,0.9453,3.0,39,38,48.5484533,-119.7422347
24,49,Pacific County,24245,53049,0.7038,2.0,26,18,46.5565866,-123.7824193
25,51,Pend Oreille County,14332,53051,0.4314,1.0,20,12,48.5438247,-117.2321913
26,53,Pierce County,941170,53053,0.5434,16.0,24,289,47.0514128,-122.1532402
27,55,San Juan County,18668,53055,0.1527,1.0,12,15,48.5071904,-123.1037693
28,57,Skagit County,132736,53057,0.5982,3.0,27,54,48.4932917,-121.8157703
29,59,Skamania County,12660,53059,0.2345,2.0,28,12,46.0247853,-121.9532319
30,61,Snohomish County,864113,53061,0.3557,9.0,35,227,48.054913,-121.7650375
31,63,Spokane County,555947,53063,0.5638,12.0,28,186,47.6203752,-117.4033714
32,65,Stevens County,49015,53065,0.4652,2.0,21,41,48.3887277,-117.8544548
33,67,Thurston County,302912,53067,0.3939,3.0,28,85,46.9358216,-122.8301524
34,69,Wahkiakum County,4800,53069,0.2039,2.0,31,2,46.2946377,-123.4244583
35,71,Walla Walla County,62068,53071,0.8078,3.0,13,33,46.2546057,-118.4803697
36,73,Whatcom County,234954,53073,0.5002,2.0,25,78,48.8426531,-121.8364325
37,75,Whitman County,48399,53075,0.5186,2.0,18,28,46.9059441,-117.5353898
38,77,Yakima County,258523,53077,0.9647,4.0,34,119,46.4565581,-120.7401446
